Wall time,Step,Value
1710981169.6333847,589968,4.111543105977944e-08
1710982148.7002456,594306,6.004334096587627e-08
1710983115.4553552,598644,6.466801494298124e-08
1710984070.9196613,602982,5.327916596797877e-08
1710985040.41689,607320,3.4950396354815894e-08
1710986015.9512112,611658,5.487380860813573e-08
1710987001.2264147,615996,6.166783350636251e-08
1710987977.5302398,620334,4.222724925284638e-08
1710988955.512221,624672,4.0098022680012946e-08
1710989931.3419194,629010,5.366791455685416e-08
1710990908.414502,633348,4.878280535081103e-08
1710991864.504293,637686,6.68838282535944e-08
1710992835.0503802,642024,4.12253733372836e-08
1710993805.432715,646362,3.684295180050867e-08
1710994780.6597798,650700,3.8309231342736894e-08
1710995760.666594,655038,3.4014220773315174e-08
1710996738.6533427,659376,3.0438375375752e-08
1710997709.6731594,663714,3.4413801586197224e-08
1710998674.5444024,668052,2.9337078544244832e-08
1710999650.8261044,672390,3.132572601316497e-08
1711000625.5976048,676728,3.4767172252259115e-08
1711001599.3592067,681066,2.626205031219797e-08
1711002565.125529,685404,2.9437771331686235e-08
1711003540.496739,689742,2.2963204671100357e-08
1711004509.8726254,694080,3.012560867432512e-08
1711005484.541822,698418,7.93654777453412e-08
1711006457.0610728,702756,4.592758173771472e-08
1711007432.5495963,707094,4.049453394827651e-08
1711008402.6042755,711432,3.6107699941112514e-08
1711009390.1907642,715770,5.480953646497255e-08
1711010358.6251698,720108,4.343892356928336e-08

